"Pdf Customiser by Fooman","Pdf Konfigurator von Fooman"
"Custom Column","Konfigurierbare Spalte"
"Custom Column Attribute","Attribut für konfigurierbare Spalte"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Wählen Sie bis zu 5 Attribute."
"Position","Position"
"Pos","Pos"
"right","Rechts"
"left","Links"
"Display Pdf in New Window","Öffne Pdf in neuem Fenster"
"Weight Unit","Gewichtseinheit"
"Barcode Type","Barcodetyp"
"Pdf Totals Sort Order","Reihenfolge"
"Upload Custom Font","Eigenen Font hochladen"
"Don't Use","Nicht benutzen"
"Custom Label Left - Shipping Address","Versandadresse (links, editierbar)"
"Custom Label Right - Shipping Address","Versandadresse (rechts, editierbar)"
"Custom Label Left - Billing Address","Rechnungsadresse (links, editierbar)"
"Custom Label Right - Billing Address","Rechnungsadresse (rechts, editierbar)"
"Display Salesrule instead of Coupon Code","Zeige Titel statt Couponcode"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Kombiniert Geschenkverpackungen für Bestellungen, Artikel und gedruckte Karten"
"Sort by Column","Sortiere nach Spalte"
"Use Alternative Layout","Benutze alternatives Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Bitte stellen Sie sicher, dass der Barcodetyp den gewüschten Inhalt anzeigen kann, da ansonsten die Pdfgenerierung fehlschlagen kann (Standard: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Versand- und Shopaddresse"
"Double - Shipping with Store Addresses and Image", "Double - Versand- und Shopaddresse mit Bild"
"Display Order Barcode","Zeige Bestellnummer als Barcode"
