"Pdf Customiser by Fooman","Fooman Pdf editor"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Nakopírujte obsah vášho certifikátu/podpisu, vrátane vášho prístupového kľúča. Zkopírujte všetko od -----BEGIN RSA PRIVATE KEY----- do -----END CERTIFICATE-----"
"Password of Signature","Podpisové heslo"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Pridajte vaše komentáre, ktoré sa zobrazia na konci výtlačku objednávky."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Které adresy majú býť zobrazené v objednávke? Nezabudnite, že stiahnuteľné produkty (downloadable products) nemajú dodaciu adresu."
"Display","Zobrazit"
"None","Žiadny"
"Product Image","Obrázok produktu"
"SKU Barcode","Čiarový kód objednávkového čísla"
"Display Quantity as full number","Zobrazit množstvo ako celé číslo"
"US","US"
"European","Evropský"
"Customer Address Format","Formát zákaznickej adresy"
"Display Base and Order Currency","Zobraziť základnu a zákaznicku menu"
"Delivery Date","Dátum dodania"
"Display Delivery Date","Zobraziť dátum dodania"
"Displays the date of the invoice again. Needed in some jurisdictions.","Opakovane zobraziť dátum fakturácie. Nutné v niektorých právnych systémoch."
"Print Order History with Comments","Vytlačiť historiu objednávky s komentármi"
"Single - Shipping Address Label","Single - etiketa s dodacou adresou"
"Single - Billing Address Label","Single - etiketa s fakturačnou adresou"
"Double - Both Addresses","Double - obe adresy"
"Use Integrated Labels","Použiť integrované etikety"
"Print Order as Packing Slip","Vytlačiť bojednávku ako etiketu"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Použite túto možnosť ak chcete vylačiť etikety na balík bez vytvárania zásielky. Týmto stratíte možnosť vytlačiť etiketu na balík s číslom zásielky (bude použité číslo objednávky)."
"Footer Block 1","Blok pätičky 1"
"Footer Block 2","Blok pätičky 2"
"Footer Block 3","Blok pätičky 3"
"Footer Block 4","Blok pätičky 4"
"Double - Shipping and Return Addresses","Double - Dodacia a návratová adresa "
"Return Address","Adresa návratu"
"Total Weight","Hmotnosť celkom"
"Display Total Weight","Zobraziť celkovú hmotnosť"
"kg","kg"
"Background Image for Pdf","Obrázok pozadia pre Pdf výtlačok"
"Placement of Logo","Umiestnenie loga"
"Logo Width","Logo šírka"
"Logo Height","Logo výška"
"Logo top-left Corner from the left","Logo roh hore-vľavo z ľava"
"Logo top-left Corner from the top","Logo roh hore=vľavo z vrchu"
"automatic","automaticky"
"no-scaling","neškáľovať"
"manual","manuál"
"Display Email Address","Zobraziť emailovú adresu"
"Displays as part of the billing address.","Zobraziť ako súčasť fakturačnej adresy."
"in milimeters","v milimetroch"
"Display Row Subtotal Including Tax","Zobraziť riadok celkom vrátane dane"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","je efektývne len keď daň > objednávky, faktúry, dobpropis zobrazenie nastavení > ceny je nastavený na nezobrazovať dane"
"Grand Total is tax inclusive","Súčet celkom je vrátane dane"
"Display only one Grand Total","Zobraziť len jeden súčet celkom"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
