"Pdf Customiser by Fooman","Fooman'i Pdf faili kohandaja"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopeeri oma sertifikaadi sisu/allkirjaga fail (sealhulgas oma isiklik võti) siia. Hõlmab kõike alates ----- BEGIN RSA PRIVATE KEY ----- kuni ----- END CERTIFICATE ----- "
"Password of Signature","Allkirja parool "
"THSarabunPSK (Thai)","THSarabunPSK (Tai) "
"Add your custom comments here to appear at the bottom of the Order Pdf.","Lisa oma kohandatud kommentaarid siia, need ilmuvad tellimuse väljatrüki allosas. "
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Millised aadressid peaks olema tellimusel? Pange tähele, et allalaaditavate toodete tellimustel saatmis aadresse pole. "
"Display","Näita/kuva"
"None","Mitte ükski "
"Product Image","Tootepilt "
"SKU Barcode","SKU triipkood "
"Display Quantity as full number","Näita koguseid täisühikutes"
"US","USA "
"European","Euroopa "
"Customer Address Format","Kliendi aadressi formaat "
"Display Base and Order Currency","Näita põhi valuutat ja tellimuse valuutat "
"Delivery Date","Kohaletoimetamise kuupäev "
"Display Delivery Date","Näita tarnekuupäeva "
"Displays the date of the invoice again. Needed in some jurisdictions.","Näitab arve kuupäeva uuesti. Vajalik mõnedes jurisdiktsioonides. "
"Print Order History with Comments","Trüki tellimuse ajalugu kommentaaridega "
"Single - Shipping Address Label","Üks – saate aadressi silt"
"Single - Billing Address Label","Üks – arvete tasuja aadressi silt"
"Double - Both Addresses","Topelt - mõlemad aadressid "
"Use Integrated Labels","Kasutage integreeritud etikette"
"Print Order as Packing Slip","Trükkige tellimus kui pakkimis sedel "
"Use this option if you would like to print packing slips without having to create shipments. You will however lose the ability to print the packing slips with the shipment number (the order number is used instead).","Kasutage seda valikut, kui soovite printida pakkimis sedelit, ilma saadetise vedu loomata. Kuid samas kaotate võimaluse printida pakkimis sedelit koos saadetise numbriga (selle asemel kasutatakse tellimuse järjekorranumbrit). "
"Footer Block 1","Lehe allosa plokk 1 "
"Footer Block 2","Lehe allosa plokk 2 "
"Footer Block 3","Lehe allosa plokk 3 "
"Footer Block 4","Lehe allosa plokk 4 "
"Double - Shipping and Return Addresses","Double - Shipping and Return Addresses"
"Return Address","Return Address"
"Total Weight","Total Weight"
"Display Total Weight","Display Total Weight"
"kg","kg"
"Background Image for Pdf","Background Image for Pdf"
"Placement of Logo","Placement of Logo"
"Logo Width","Logo Width"
"Logo Height","Logo Height"
"Logo top-left Corner from the left","Logo top-left Corner from the left"
"Logo top-left Corner from the top","Logo top-left Corner from the top"
"automatic","automatic"
"no-scaling","no-scaling"
"manual","manual"
"Display Email Address","Display Email Address"
"Displays as part of the billing address.","Displays as part of the billing address."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Display Row Subtotal Including Tax"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Grand Total is tax inclusive"
"Display only one Grand Total","Display only one Grand Total"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
