"Pdf Customiser by Fooman","Pdf Customiser - Fooman"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopioi tähän ”certificate/signature” tiedosto sisältäen ”private key”. Liitä tiedot kaikki väliltä -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----"
"Password of Signature","Allekirjoituksen salasana ”Password of Signature”"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Lisää kommenttisi tähän, näkyy Tilauksen ala-osassa"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Mikä osoite näytetään tilauksessa? Huom. ladattavilla tuotteilla ei ole toimitusosoitetta."
"Display","Näytä"
"None","Ei"
"Product Image","Tuotekuva"
"SKU Barcode","SKU tuotenumero viivakoodi"
"Display Quantity as full number","Näytä määrä täytenä"
"US","US"
"European","Eurooppalainen"
"Customer Address Format","Asiakkaan osoitteen formaatti"
"Display Base and Order Currency","Näytä pohjavaluutta ja tilauksen valuutta"
"Delivery Date","Toimituspäivä"
"Display Delivery Date","Näytä toimituspäivä"
"Displays the date of the invoice again. Needed in some jurisdictions.","Näytä toimituspäivä uudestaan, tarvitaan joissakin maissa."
"Print Order History with Comments","Tulosta tilauksen historia kommentteineen"
"Single - Shipping Address Label","Yksi – Lähetysosoite otsikko"
"Single - Billing Address Label","Yksi – Laskutusosoite otsikko"
"Double - Both Addresses","Kaksi – Molemmat osoitteet"
"Use Integrated Labels","Käytä integroituja otsikoita"
"Print Order as Packing Slip","Tulosta tilaus lähetteenä"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Käytä tätä optiota jos haluat tulostaa lähetteen ilman että luodaan lähetystä. Et voi tulostaa lähetettä lähetysnumerolla – sen sijaan käytetään tilausnumeroa."
"Footer Block 1","Footer Block 1"
"Footer Block 2","Footer Block 2"
"Footer Block 3","Footer Block 3"
"Footer Block 4","Footer Block 4"
"Double - Shipping and Return Addresses","Kaksi – Lähetys- ja palautusosoite"
"Return Address","Palautusosoite"
"Total Weight","Paino yhteensä"
"Display Total Weight","Näytä Paino yhteensä"
"kg","kg"
"Background Image for Pdf","Taustakuva Pdf tulosteille"
"Placement of Logo","Logon sijainti"
"Logo Width","Logon leveys"
"Logo Height","Logon korkeus"
"Logo top-left Corner from the left","Logo ylhäällä vasemmalla – vasemmalta"
"Logo top-left Corner from the top","Logo ylhäällä vasemmalla – ylhäältä"
"automatic","automaattinen"
"no-scaling","Ei-skaalautuva"
"manual","manuaalinen"
"Display Email Address","Näytä sähköpostiosoite"
"Displays as part of the billing address.","Näytä osana laskutusosoitetta"
"in milimeters","millimetreinä"
"Display Row Subtotal Including Tax","Näytä rivin loppusumma sisältäen verot"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","Toiminnassa vain jos Arvonlisävero > tilausten, laskujen ja hyvityslaskujen näytön asetukset > Hinta ei sisällä arvonlisäveroja  "
"Grand Total is tax inclusive","Loppusumma sisältää arvonlisäveron"
"Display only one Grand Total","Näytä vain yksi loppusumma"
"Display detailed Tax Summary","Näytä tarkka veroerittely"
"Columns","Sarakkeet"
"Columns Advanced","Kehittyneet sarakkeet"
"Display Background only on first page","Näytä tausta vain ensimmäisellä sivulla"
"Display Page Number","Näytä sivunumero"
"Custom Column","Mukautettu sarake"
"Custom Column Attribute","Mukautettu sarake-ominaisuus"
"Base Amount","Lähtö summa"
"Select up to 5 attributes.","Valitse enintään 5 ominaisuutta"
"Position","Asemointi"
"Pos","Asem"
"right","Oikea"
"left","Vasen"
"Display Pdf in New Window","Näytä Pdf iuudessa ikkunassa"
"Weight Unit","Paino yksikkö"
"Barcode Type","Viivakoodi tyyppi"
"Pdf Totals Sort Order","Pdf summan lajittelujärjestys"
"Upload Custom Font","Lataa mukautettu fontti"
"Don't Use","Älä käytä"
"Custom Label Left - Shipping Address","Mukautettu nimike Vasen  - Lähetysosoite"
"Custom Label Right - Shipping Address","Mukautettu nimike Oikea – Lähetysosoite"
"Custom Label Left - Billing Address","Mukautettu nimike Vasen – Laskutusosoite"
"Custom Label Right - Billing Address","Mukautettu nimike Oikea – Laskutusosoite"
"Display Salesrule instead of Coupon Code","Näytä Myyntisääntö (salesrule) kuponkikoodin sijaan (Coupon Code)"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Yhdistää lahjapakkauksen tilauksille, nimikkeille ja tulostetuille korteille"
"Sort by Column","Lajittele sarakkeittain"
"Use Alternative Layout","Käytä vaihtoehtoista asettelua"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Varmista että viivakoodin tyyppi on oikea tai pdf:n luonti voi epäonnistua. (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Tupla – Lähetys ja kaupan osoitteet"
"Double - Shipping with Store Addresses and Image"," ""Tupla – Lähetys ja kaupan osoitteet sekä kuvat"""
"Display Order Barcode","Näytä tilauksen viivakoodi"
